"","X","Year","avg"
"1",1,1978,12.9768382352941
"2",2,1979,12.0193489010989
"3",3,1980,11.785218579235
"4",4,1981,11.7761475409836
"5",5,1982,12.0487554945055
"6",6,1983,11.8529043715847
"7",7,1984,11.6811393442623
"8",8,1985,11.8102142857143
"9",9,1986,11.6397732240437
"10",10,1987,12.1494113636364
"11",11,1988,11.8891793785311
"12",12,1989,11.6962671232877
"13",13,1990,11.5517178082192
"14",14,1991,11.6470657534247
"15",15,1992,11.7545491803279
"16",16,1993,11.671495890411
"17",17,1994,11.8926438356164
"18",18,1995,11.6049328767123
"19",19,1996,11.8049576502732
"20",20,1997,11.5288328767123
"21",21,1998,11.7478767123288
"22",22,1999,11.7260739726027
"23",23,2000,11.6277008196721
"24",24,2001,11.6363205479452
"25",25,2002,11.2922369863014
"26",26,2003,11.6832547945205
"27",27,2004,11.6009658469945
"28",28,2005,11.3009273972603
"29",29,2006,11.1167630136986
"30",30,2007,11.080601369863
"31",31,2008,11.6086270491803
"32",32,2009,11.4902808219178
"33",33,2010,11.4090917808219
"34",34,2011,10.9920342465753
"35",35,2012,11.2052677595628
"36",36,2013,11.7103602739726
"37",37,2014,11.7833109589041
"38",38,2015,11.4899589041096
"39",39,2016,10.6827964480874
"40",40,2017,10.5708136986301
"41",41,2018,10.6323123287671
"42",42,2019,9.24364569536424
